Period,Basket,Code,Name,Start_Date,End_Date,Start_Marcap,End_Marcap,Marcap_Change,Marcap_Change_Pct,Foreign_Net_Est_Value_Sum,Institution_Net_Est_Value_Sum
6월,금융,024110,기업은행,2026-06-01,2026-06-30,15988388673450,15868774793100,-119613880350,-0.7481296758104716,15721916810,26130691440
6월,금융,032830,삼성생명,2026-06-01,2026-06-30,82000000000000,80200000000000,-1800000000000,-2.195121951219514,41540794500,104792334500
6월,금융,055550,신한지주,2026-06-01,2026-06-30,43952993828600,45471887783800,1518893955200,3.455723542116629,82885142900,36769436500
6월,금융,086790,하나금융지주,2026-06-01,2026-06-30,31250486497200,31442543920800,192057423600,0.6145741878841093,100536546200,-21493590700
6월,금융,105560,KB금융,2026-06-01,2026-06-30,56710554205500,56395349706000,-315204499500,-0.5558127652179223,130194216400,-54372516300
6월,금융,316140,우리금융지주,2026-06-01,2026-06-30,21581843808000,21114600778000,-467243030000,-2.1649819828035377,45952355650,-14204307900
6월,반도체,000660,SK하이닉스,2026-06-01,2026-06-30,1684115688495000,1888661267250000,204545578755000,12.145577655522644,-19542698644000,3820038709000
6월,반도체,005930,삼성전자,2026-06-01,2026-06-30,2040351234192000,1952657055072000,-87694179120000,-4.297994269340977,-20773127888500,3423165253500
6월,생활소비재,003230,삼양식품,2026-06-01,2026-06-30,8783495490000,8429443785000,-354051705000,-4.030874785591765,720239000,4482466000
6월,생활소비재,015760,한국전력,2026-06-01,2026-06-30,24811911576050,23752670849000,-1059240727050,-4.269081500646832,-11307387650,39089905300
6월,생활소비재,033780,KT&G,2026-06-01,2026-06-30,19215315405600,17616634383200,-1598681022400,-8.31982712047542,26597460900,-20567356000
6월,생활소비재,090430,아모레퍼시픽,2026-06-01,2026-06-30,6510244076700,6182684626300,-327559450400,-5.031446540880502,-23419325500,-11660834300
6월,생활소비재,278470,에이피알,2026-06-01,2026-06-30,15967373107500,14432408752500,-1534964355000,-9.613130128956627,-81576338500,62680710000
7월,금융,024110,기업은행,2026-07-01,2026-07-31,16147873847250,16466844194850,318970347600,1.975308641975304,24652160550,21525687500
7월,금융,032830,삼성생명,2026-07-01,2026-07-31,77400000000000,62300000000000,-15100000000000,-19.509043927648584,182334844000,-90485992500
7월,금융,055550,신한지주,2026-07-01,2026-07-31,45756680400400,47273639067300,1516958666900,3.315272553921411,-74804962400,222143862500
7월,금융,086790,하나금융지주,2026-07-01,2026-07-31,31936405867200,34405715599200,2469309732000,7.731958762886593,-109641105000,229333266700
7월,금융,105560,KB금융,2026-07-01,2026-07-31,56218005839000,59764883179000,3546877340000,6.309148264984232,-488022125900,655993693500
